Variable,Abbreviation,Level,Unit/Value
PM2.5 concentration,PM2.5,Atmospheric Column,μg/m<sup>-3</sup>
PM2.5 concentration,PM2.5,Surface,μg/m<sup>-3</sup>
PM2.5 concentration difference with RAQDPS model,PM2.5-Diff-RAQDPS,Atmospheric Column,μg/m<sup>-3</sup>
PM2.5 concentration difference with RAQDPS model,PM2.5-Diff-RAQDPS,Surface,μg/m<sup>-3</sup>
PM10 concentration,PM10,Atmospheric Column,μg/m<sup>-3</sup>
PM10 concentration,PM10,Surface,μg/m<sup>-3</sup>
PM10 concentration difference with RAQDPS model,PM10-Diff-RAQDPS,Atmospheric Column,μg/m<sup>-3</sup>
PM10 concentration difference with RAQDPS model,PM10-Diff-RAQDPS,Surface,μg/m<sup>-3</sup>
