Variable,Abréviation,Niveau,Unité/Valeur
Concentration des PM2.5,PM2.5,Colonne atmosphérique,kg/m<sup>3</sup>
Concentration des PM2.5,PM2.5,Surface,kg/m<sup>3</sup>
Différence de concentration des PM2.5 avec le modèle SRPDQA,PM2.5-Diff-RAQDPS,Colonne atmosphérique,kg/m<sup>3</sup>
Différence de concentration des PM2.5 avec le modèle SRPDQA,PM2.5-Diff-RAQDPS,Surface,kg/m<sup>3</sup>
Concentration des PM10,PM10,Colonne atmosphérique,kg/m<sup>3</sup>
Concentration des PM10,PM10,Surface,kg/m<sup>3</sup>
Différence de concentration des PM10 avec le modèle SRPDQA,PM10-Diff-RAQDPS,Colonne atmosphérique,kg/m<sup>3</sup>
Différence de concentration des PM10 avec le modèle SRPDQA,PM10-Diff-RAQDPS,Surface,kg/m<sup>3</sup>
