Variable,Abbreviation,Level,Unit/Value
Specific humidity,SPFH,10 mb,kg/kg
Specific humidity,SPFH,100 mb,kg/kg
Specific humidity,SPFH,1000 mb,kg/kg
Specific humidity,SPFH,1015 mb,kg/kg
Specific humidity,SPFH,120 m Above Ground Level,kg/kg
Specific humidity,SPFH,150 mb,kg/kg
Specific humidity,SPFH,175 mb,kg/kg
Specific humidity,SPFH,2 m Above Ground Level,kg/kg
Specific humidity,SPFH,20 mb,kg/kg
Specific humidity,SPFH,200 mb,kg/kg
Specific humidity,SPFH,225 mb,kg/kg
Specific humidity,SPFH,250 mb,kg/kg
Specific humidity,SPFH,275 mb,kg/kg
Specific humidity,SPFH,30 mb,kg/kg
Specific humidity,SPFH,300 mb,kg/kg
Specific humidity,SPFH,350 mb,kg/kg
Specific humidity,SPFH,40 m Above Ground Level,kg/kg
Specific humidity,SPFH,400 mb,kg/kg
Specific humidity,SPFH,450 mb,kg/kg
Specific humidity,SPFH,5 mb,kg/kg
Specific humidity,SPFH,50 mb,kg/kg
Specific humidity,SPFH,500 mb,kg/kg
Specific humidity,SPFH,550 mb,kg/kg
Specific humidity,SPFH,600 mb,kg/kg
Specific humidity,SPFH,650 mb,kg/kg
Specific humidity,SPFH,700 mb,kg/kg
Specific humidity,SPFH,750 mb,kg/kg
Specific humidity,SPFH,80 m Above Ground Level,kg/kg
Specific humidity,SPFH,800 mb,kg/kg
Specific humidity,SPFH,850 mb,kg/kg
Specific humidity,SPFH,875 mb,kg/kg
Specific humidity,SPFH,900 mb,kg/kg
Specific humidity,SPFH,925 mb,kg/kg
Specific humidity,SPFH,950 mb,kg/kg
Specific humidity,SPFH,970 mb,kg/kg
Specific humidity,SPFH,985 mb,kg/kg
Specific humidity,SPFH,Surface,kg/kg
Storm relative helicity,HLCY,Surface,J/kg
Surface Water Runoff,SFCWRO,Surface,kg/m<sup>2</sup>
Temperature,TMP,1 mb,K
Temperature,TMP,10 mb,K
Temperature,TMP,100 mb,K
Temperature,TMP,1000 mb,K
Temperature,TMP,1015 mb,K
Temperature,TMP,120 m Above Ground Level,K
Temperature,TMP,150 mb,K
Temperature,TMP,175 mb,K
Temperature,TMP,2 m Above Ground Level,K
Temperature,TMP,20 mb,K
Temperature,TMP,200 mb,K
Temperature,TMP,225 mb,K
Temperature,TMP,250 mb,K
Temperature,TMP,275 mb,K
Temperature,TMP,30 mb,K
Temperature,TMP,300 mb,K
Temperature,TMP,350 mb,K
Temperature,TMP,40 m Above Ground Level,K
Temperature,TMP,400 mb,K
Temperature,TMP,450 mb,K
Temperature,TMP,5 mb,K
Temperature,TMP,50 mb,K
Temperature,TMP,500 mb,K
Temperature,TMP,550 mb,K
Temperature,TMP,600 mb,K
Temperature,TMP,650 mb,K
Temperature,TMP,700 mb,K
Temperature,TMP,750 mb,K
Temperature,TMP,80 m Above Ground Level,K
Temperature,TMP,800 mb,K
Temperature,TMP,850 mb,K
Temperature,TMP,875 mb,K
Temperature,TMP,900 mb,K
Temperature,TMP,925 mb,K
Temperature,TMP,950 mb,K
Temperature,TMP,970 mb,K
Temperature,TMP,985 mb,K
Thickness between 2 isobaric levels,THICK,1000-500 mb,m
Total cloud cover,TCDC,Surface,%
Total precipitation,APCP,Surface,kg/m<sup>2</sup>
Total totals index,TOTALX,Surface,K
Upward longwave radiation flux,ULWRF,Nominal Top of Atmosphere,W/m<sup>2</sup>
Upward shortwave radiation flux,USWRF,Nominal Top of Atmosphere,W/m<sup>2</sup>
Vertical velocity (pressure),VVEL,250 mb,Pa/s
Vertical velocity (pressure),VVEL,500 mb,Pa/s
Vertical velocity (pressure),VVEL,700 mb,Pa/s
Vertical velocity (pressure),VVEL,850 mb,Pa/s
Wind chill factor,WCF,Surface,°C
Wind direction (from which blowing),WDIR,1 mb,Degree true
Wind direction (from which blowing),WDIR,10 m Above Ground Level,Degree true
Wind direction (from which blowing),WDIR,10 mb,Degree true
Wind direction (from which blowing),WDIR,100 mb,Degree true
Wind direction (from which blowing),WDIR,1000 mb,Degree true
Wind direction (from which blowing),WDIR,1015 mb,Degree true
Wind direction (from which blowing),WDIR,120 m Above Ground Level,Degree true
Wind direction (from which blowing),WDIR,150 mb,Degree true
Wind direction (from which blowing),WDIR,175 mb,Degree true
Wind direction (from which blowing),WDIR,20 mb,Degree true
Wind direction (from which blowing),WDIR,200 mb,Degree true
Wind direction (from which blowing),WDIR,225 mb,Degree true
Wind direction (from which blowing),WDIR,250 mb,Degree true
Wind direction (from which blowing),WDIR,275 mb,Degree true
Wind direction (from which blowing),WDIR,30 mb,Degree true
Wind direction (from which blowing),WDIR,300 mb,Degree true
Wind direction (from which blowing),WDIR,350 mb,Degree true
Wind direction (from which blowing),WDIR,40 m Above Ground Level,Degree true
Wind direction (from which blowing),WDIR,400 mb,Degree true
Wind direction (from which blowing),WDIR,450 mb,Degree true
Wind direction (from which blowing),WDIR,5 mb,Degree true
Wind direction (from which blowing),WDIR,50 mb,Degree true
Wind direction (from which blowing),WDIR,500 mb,Degree true
Wind direction (from which blowing),WDIR,550 mb,Degree true
Wind direction (from which blowing),WDIR,600 mb,Degree true
Wind direction (from which blowing),WDIR,650 mb,Degree true
Wind direction (from which blowing),WDIR,700 mb,Degree true
Wind direction (from which blowing),WDIR,750 mb,Degree true
Wind direction (from which blowing),WDIR,80 m Above Ground Level,Degree true
Wind direction (from which blowing),WDIR,800 mb,Degree true
Wind direction (from which blowing),WDIR,850 mb,Degree true
Wind direction (from which blowing),WDIR,875 mb,Degree true
Wind direction (from which blowing),WDIR,900 mb,Degree true
Wind direction (from which blowing),WDIR,925 mb,Degree true
Wind direction (from which blowing),WDIR,950 mb,Degree true
Wind direction (from which blowing),WDIR,970 mb,Degree true
Wind direction (from which blowing),WDIR,985 mb,Degree true
Wind speed (gust),GUST,10 m Above Ground Level,m/s
Wind speed,WSPD,1 mb,m/s
Wind speed,WSPD,10 m Above Ground Level,m/s
Wind speed,WSPD,10 mb,m/s
Wind speed,WSPD,100 mb,m/s
Wind speed,WSPD,1000 mb,m/s
Wind speed,WSPD,1015 mb,m/s
Wind speed,WSPD,120 m Above Ground Level,m/s
Wind speed,WSPD,150 mb,m/s
Wind speed,WSPD,175 mb,m/s
Wind speed,WSPD,20 mb,m/s
Wind speed,WSPD,200 mb,m/s
Wind speed,WSPD,225 mb,m/s
Wind speed,WSPD,250 mb,m/s
Wind speed,WSPD,275 mb,m/s
Wind speed,WSPD,30 mb,m/s
Wind speed,WSPD,300 mb,m/s
Wind speed,WSPD,350 mb,m/s
Wind speed,WSPD,40 m Above Ground Level,m/s
Wind speed,WSPD,400 mb,m/s
Wind speed,WSPD,450 mb,m/s
Wind speed,WSPD,5 mb,m/s
Wind speed,WSPD,50 mb,m/s
Wind speed,WSPD,500 mb,m/s
Wind speed,WSPD,550 mb,m/s
Wind speed,WSPD,600 mb,m/s
Wind speed,WSPD,650 mb,m/s
Wind speed,WSPD,700 mb,m/s
Wind speed,WSPD,750 mb,m/s
Wind speed,WSPD,80 m Above Ground Level,m/s
Wind speed,WSPD,800 mb,m/s
Wind speed,WSPD,850 mb,m/s
Wind speed,WSPD,875 mb,m/s
Wind speed,WSPD,900 mb,m/s
Wind speed,WSPD,925 mb,m/s
Wind speed,WSPD,950 mb,m/s
Wind speed,WSPD,970 mb,m/s
Wind speed,WSPD,985 mb,m/s
u-component of wind,UGRD,1 mb,m/s
u-component of wind,UGRD,10 m Above Ground Level,m/s
u-component of wind,UGRD,10 mb,m/s
u-component of wind,UGRD,100 mb,m/s
u-component of wind,UGRD,1000 mb,m/s
u-component of wind,UGRD,1015 mb,m/s
u-component of wind,UGRD,120 m Above Ground Level,m/s
u-component of wind,UGRD,150 mb,m/s
u-component of wind,UGRD,175 mb,m/s
u-component of wind,UGRD,20 mb,m/s
