Variable,Abbreviation,Level,Unit/Value
PM2.5 concentration,PM2.5,Atmospheric Column,kg/m<sup>3</sup>
PM2.5 concentration,PM2.5,Surface,kg/m<sup>3</sup>
PM2.5 concentration difference with RAQDPS model,PM2.5-Diff-RAQDPS,Atmospheric Column,kg/m<sup>3</sup>
PM2.5 concentration difference with RAQDPS model,PM2.5-Diff-RAQDPS,Surface,kg/m<sup>3</sup>
PM10 concentration,PM10,Atmospheric Column,kg/m<sup>3</sup>
PM10 concentration,PM10,Surface,kg/m<sup>3</sup>
PM10 concentration difference with RAQDPS model,PM10-Diff-RAQDPS,Atmospheric Column,kg/m<sup>3</sup>
PM10 concentration difference with RAQDPS model,PM10-Diff-RAQDPS,Surface,kg/m<sup>3</sup>
