Name                                                             | Id                             | Web Services | Styles                                                                                                
970//HRDPS.CONTINENTAL.PRES - Dew point depression at 970.0 mb   | HRDPS.CONTINENTAL.PRES_ES.970  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
950//HRDPS.CONTINENTAL.PRES - Dew point depression at 950.0 mb   | HRDPS.CONTINENTAL.PRES_ES.950  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
925//HRDPS.CONTINENTAL.PRES - Dew point depression at 925.0 mb   | HRDPS.CONTINENTAL.PRES_ES.925  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
900//HRDPS.CONTINENTAL.PRES - Dew point depression at 900.0 mb   | HRDPS.CONTINENTAL.PRES_ES.900  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
875//HRDPS.CONTINENTAL.PRES - Dew point depression at 875.0 mb   | HRDPS.CONTINENTAL.PRES_ES.875  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
850//HRDPS.CONTINENTAL.PRES - Dew point depression at 850.0 mb   | HRDPS.CONTINENTAL.PRES_ES.850  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
800//HRDPS.CONTINENTAL.PRES - Dew point depression at 800.0 mb   | HRDPS.CONTINENTAL.PRES_ES.800  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
750//HRDPS.CONTINENTAL.PRES - Dew point depression at 750.0 mb   | HRDPS.CONTINENTAL.PRES_ES.750  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
700//HRDPS.CONTINENTAL.PRES - Dew point depression at 700.0 mb   | HRDPS.CONTINENTAL.PRES_ES.700  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
650//HRDPS.CONTINENTAL.PRES - Dew point depression at 650.0 mb   | HRDPS.CONTINENTAL.PRES_ES.650  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
600//HRDPS.CONTINENTAL.PRES - Dew point depression at 600.0 mb   | HRDPS.CONTINENTAL.PRES_ES.600  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
550//HRDPS.CONTINENTAL.PRES - Dew point depression at 550.0 mb   | HRDPS.CONTINENTAL.PRES_ES.550  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
500//HRDPS.CONTINENTAL.PRES - Dew point depression at 500.0 mb   | HRDPS.CONTINENTAL.PRES_ES.500  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
450//HRDPS.CONTINENTAL.PRES - GDew point depression at 450.0 mb  | HRDPS.CONTINENTAL.PRES_ES.450  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
400//HRDPS.CONTINENTAL.PRES - Dew point depression at 400.0 mb   | HRDPS.CONTINENTAL.PRES_ES.400  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
350//HRDPS.CONTINENTAL.PRES - Dew point depression at 350.0 mb   | HRDPS.CONTINENTAL.PRES_ES.350  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
300//HRDPS.CONTINENTAL.PRES - Dew point depression at 300.0 mb   | HRDPS.CONTINENTAL.PRES_ES.300  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
275//HRDPS.CONTINENTAL.PRES - Dew point depression at 275.0 mb   | HRDPS.CONTINENTAL.PRES_ES.275  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
250//HRDPS.CONTINENTAL.PRES - Dew point depression at 250.0 mb   | HRDPS.CONTINENTAL.PRES_ES.250  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
225//HRDPS.CONTINENTAL.PRES - Dew point depression at 225.0 mb   | HRDPS.CONTINENTAL.PRES_ES.225  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
200//HRDPS.CONTINENTAL.PRES - Dew point depression at 200.0 mb   | HRDPS.CONTINENTAL.PRES_ES.200  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
175//HRDPS.CONTINENTAL.PRES - Dew point depression at 175.0 mb   | HRDPS.CONTINENTAL.PRES_ES.175  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
150//HRDPS.CONTINENTAL.PRES - Dew point depression at 150.0 mb   | HRDPS.CONTINENTAL.PRES_ES.150  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
100//HRDPS.CONTINENTAL.PRES - Dew point depression at 100.0 mb   | HRDPS.CONTINENTAL.PRES_ES.100  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
50//HRDPS.CONTINENTAL.PRES - Dew point depression at 50.0 mb     | HRDPS.CONTINENTAL.PRES_ES.50   | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
1015//HRDPS.CONTINENTAL.PRES - Relative humidity at 1015.0 mb    | HRDPS.CONTINENTAL.PRES_HR.1015 | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
1000//HRDPS.CONTINENTAL.PRES - Relative humidity at 1000.0 mb    | HRDPS.CONTINENTAL.PRES_HR.1000 | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
985//HRDPS.CONTINENTAL.PRES - Relative humidity at 985.0 mb      | HRDPS.CONTINENTAL.PRES_HR.985  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
970//HRDPS.CONTINENTAL.PRES - Relative humidity at 970.0 mb      | HRDPS.CONTINENTAL.PRES_HR.970  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
950//HRDPS.CONTINENTAL.PRES - Relative humidity at 950.0 mb      | HRDPS.CONTINENTAL.PRES_HR.950  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
925//HRDPS.CONTINENTAL.PRES - Relative humidity at 925.0 mb      | HRDPS.CONTINENTAL.PRES_HR.925  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
900//HRDPS.CONTINENTAL.PRES - Relative humidity at 900.0 mb      | HRDPS.CONTINENTAL.PRES_HR.900  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
875//HRDPS.CONTINENTAL.PRES - Relative humidity at 875.0 mb      | HRDPS.CONTINENTAL.PRES_HR.875  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
850//HRDPS.CONTINENTAL.PRES - Relative humidity at 850.0 mb      | HRDPS.CONTINENTAL.PRES_HR.850  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
