Nom                                                                                   | Id                        | Services web | Styles                                                                                                
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.10 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.10    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.11 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.11    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.12 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.12    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.13 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.13    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.14 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.14    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.15 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.15    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.16 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.16    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.17 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.17    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.18 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.18    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.19 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.19    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.20 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.20    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_PN-SLP//REPS.MEM.ETA_PN-SLP.21 - Température de la surface et du sol              | REPS.MEM.ETA_PN-SLP.21    | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
ETA_I0//REPS.MEM.ETA_I0.01 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.01        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.02 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.02        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.03 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.03        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.04 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.04        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.05 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.05        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.06 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.06        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.07 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.07        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.08 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.08        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.09 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.09        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.10 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.10        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.11 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.11        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.12 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.12        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.13 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.13        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.14 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.14        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.15 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.15        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.16 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.16        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.17 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.17        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
ETA_I0//REPS.MEM.ETA_I0.18 - Température de la surface et du sol (Profondeur/moyenne) | REPS.MEM.ETA_I0.18        | WMS, WCS     | DEFAULT: TEMPSOIL, TEMPSOIL                                                                           
